trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9753099120283326}",25,15,-48.789191112605536,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.4, 'e': 0.951229424500714}",30,0,-135.4973150874811,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9277434863285529}",20,3,-131.07396271831945,"{0: 5, 1: 4, 2: 6, 3: 1, 4: 1}",1
4,False,"{'a': 0.4, 'e': 0.9048374180359595}",30,0,-141.42361213956013,"{0: 22, 1: 0, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.8824969025845955}",20,2,-34.01542585183264,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
6,False,"{'a': 0.4, 'e': 0.8607079764250578}",20,5,-108.12566913929213,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.4, 'e': 0.8394570207692074}",20,7,-20.243464915030003,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.8187307530779818}",25,0,-84.21276950325797,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.4, 'e': 0.7985162187593771}",35,0,-176.10670015799298,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.7788007830714049}",30,0,-205.97473152187888,"{0: 18, 1: 5, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.4, 'e': 0.7595721232249685}",25,0,-50.075637184321366,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.4, 'e': 0.7408182206817179}",20,0,-103.23239019647092,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.7225273536420722}",20,7,-12.743963739148674,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.7046880897187134}",20,0,-55.677300394942336,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.6872892787909722}",30,0,-69.21165767429441,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
