trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-70.38524126121408,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.22295909432178,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.54240757328222,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.8473751560905,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.13795379508963,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.73028182239743,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.29640579732411,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.0256399743796,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.60111104010227,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.53358855983366,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.0435979495313,"{0: 9, 1: 4, 2: 7, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.66724577450444,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.25430720338426,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.29206709897096,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-83.86473842111468,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.5208010677731,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.2261259954873,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.95198379133582,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.46677153685786,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.46169895165252,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-263.0518940914973,"{0: 14, 1: 5, 2: 5, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-91.60006414618071,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,14,5.553993232162617,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.90594603944055,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.3979869954595,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.25818398666038,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.58990539196748,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-183.1635049633946,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-173.3020980601242,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.05598253518852,"{0: 18, 1: 4, 2: 2, 3: 4, 4: 2}",1
